paper,rating,title,date,duration,genre,nationality,direction,actors
CNews,Chef-d'oeuvre,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
CinemaTeaser,Chef-d'oeuvre,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Le Parisien,Chef-d'oeuvre,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Studio Ciné Live,Chef-d'oeuvre,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Télé 7 Jours,Chef-d'oeuvre,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Ecran Large,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
L'Express,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
La Voix du Nord,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Le Journal du Dimanche,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Le Nouvel Observateur,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Les Fiches du Cinéma,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Paris Match,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Positif,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Première,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
Transfuge,Très bien,'71,2014-09-02,104,Guerre,britannique,De Yann Demange,"Avec Jack O'Connell, Paul Anderson, Sam Reid"
